strategy,pca_dims,tsne_perplexity,algo,k_or_mcs,min_samples,n_clusters_raw,n_clusters,noise_pct,mean_weighted_d,cluster_count_factor,entropy_factor,min_step_entropy,min_agent_entropy,composite_score,passes_verification
tsne3d_hdbscan,20,50,hdbscan,50,3,53,5,34.89702517162471,2.6385514166534576,1.0,0.8280487889989393,0.2127275731183437,0.9339539239405709,1.422401893248727,False
tsne3d_hdbscan,20,50,hdbscan,50,5,48,6,36.97559115179253,2.5280546635881214,1.0,0.8335547486784919,0.21131472183513653,0.9352673880410242,1.3280957017606079,False
tsne3d_hdbscan,20,150,hdbscan,50,3,44,6,45.13729977116705,2.861513966148113,1.0,0.7924788566857295,0.2375497393865274,0.9434510110497435,1.2441155917137805,False
tsne3d_hdbscan,20,125,hdbscan,50,3,47,5,43.19221967963387,2.6643056249952766,1.0,0.8066311929404133,0.2132456006555656,0.9499514266913197,1.220862837800491,False
tsne3d_hdbscan,20,150,hdbscan,50,5,40,5,51.85926773455377,2.8583861638706276,1.0,0.7788230121028739,0.2864984666746567,0.9465423227324055,1.071697871726502,False
tsne3d_hdbscan,20,100,hdbscan,50,10,38,5,52.707856598016775,2.7000813235583254,1.0,0.7845955144124361,0.21398696872998907,0.9420156910500881,1.0018706719358097,False
tsne3d_hdbscan,20,75,hdbscan,50,3,48,7,37.27116704805492,1.7996135349666116,1.0,0.8465402761785454,0.23838693620976015,0.9377661618706604,0.9556394817560891,False
tsne3d_hdbscan,20,50,hdbscan,100,3,28,7,32.57055682684973,1.6336784205620247,1.0,0.8671900074381476,0.2127275731183437,0.9290560732729137,0.9552793957925183,False
tsne3d_hdbscan,20,75,hdbscan,50,5,45,8,43.21128909229596,1.8580450523955871,1.0,0.8502655077122424,0.2850633637594654,0.9331474239484889,0.8971660114122539,False
tsne3d_hdbscan,20,100,hdbscan,50,25,28,6,64.39740655987795,3.10664559652498,1.0,0.7986452986590109,0.20689031040872755,0.9433438051671602,0.8833387585418807,False
tsne3d_hdbscan,20,125,hdbscan,50,25,26,7,61.470251716247134,2.296540540233087,1.0,0.8369849468555046,0.24475746032136664,0.932572845486422,0.7406072094218886,False
tsne3d_hdbscan,20,100,hdbscan,50,3,40,9,39.426010678871094,2.0220930244672397,0.7,0.8471141729614207,0.23406493401435471,0.9347985842717284,0.7263188168105419,False
tsne3d_hdbscan,20,150,hdbscan,50,25,27,7,61.97559115179252,2.2001527771217058,1.0,0.8275039590174255,0.24675030714310922,0.9467696112580672,0.6922857468004809,False
tsne3d_hdbscan,20,125,hdbscan,50,10,30,6,55.70175438596491,1.854123902156326,1.0,0.8299866754844197,0.23419411371335444,0.9358114122851094,0.6817048749218412,False
tsne3d_hdbscan,20,150,hdbscan,50,10,30,7,53.337147215865755,1.6808943540024752,1.0,0.851006663456572,0.2344452546238253,0.930108952461659,0.6674898489469854,False
tsne3d_hdbscan,20,100,hdbscan,50,5,37,9,48.97978642257819,2.2581565616592023,0.7,0.8152064147717867,0.2925911484328023,0.9399814600166696,0.657448819209149,False
tsne3d_hdbscan,20,50,hdbscan,50,25,17,6,54.710144927536234,1.6632494008649554,1.0,0.86720038856265,0.19564141280825464,0.9197528149059657,0.6532475211533896,False
tsne3d_hdbscan,20,150,hdbscan,100,5,17,7,47.549580472921434,1.3337775048278484,1.0,0.8701905253854597,0.2864984666746567,0.9332643444383091,0.6087608364561083,False
tsne3d_hdbscan,20,150,hdbscan,100,25,9,7,54.40503432494279,1.4164798532129714,1.0,0.858746264215116,0.24675030714310922,0.9103426668456741,0.5546156953542587,False
tsne3d_hdbscan,20,100,hdbscan,400,3,7,6,39.750190694126616,0.8471148622690292,1.0,0.8914565885679409,0.6607559014000526,0.927636055747807,0.4549861504017917,False
tsne3d_hdbscan,20,125,hdbscan,200,5,6,5,38.339054157131955,0.7638534940302567,1.0,0.8786596658771058,0.43292106362480204,0.918307821465937,0.4138480781408383,False
tsne3d_hdbscan,20,125,hdbscan,100,5,22,9,51.54462242562929,1.4014943508798383,0.7,0.8678651008980962,0.43292106362480204,0.9377729478727315,0.41255665599736896,False
tsne3d_hdbscan,20,150,hdbscan,400,3,6,5,48.255148741418765,0.8566026429671659,1.0,0.8883210604914024,0.625046648041947,0.9300872337247484,0.39374632331538295,False
tsne3d_hdbscan,20,150,hdbscan,200,5,10,9,50.238367658276125,1.2657356342141184,0.7,0.8700229441417022,0.2864984666746567,0.9260950127069281,0.38358920001273483,False
